       Multiple Comparison of Means - Tukey HSD, FWER=0.05        
==================================================================
   group1       group2    meandiff p-adj   lower    upper   reject
------------------------------------------------------------------
     average     baseline -11.7623    0.0 -17.4063  -6.1182   True
     average  egalitarian  -6.2998 0.0164 -11.9438  -0.6557   True
     average majoritarian  -23.474    0.0  -29.118   -17.83   True
     average      maximin  -0.6493    1.0  -6.2933   4.9948  False
     average     optimist -14.1935    0.0 -19.8375  -8.5495   True
     average  utilitarian  -12.021    0.0  -17.665   -6.377   True
     average         veto   -3.843 0.4387   -9.487    1.801  False
    baseline  egalitarian   5.4625 0.0661  -0.1815  11.1065  False
    baseline majoritarian -11.7117    0.0 -17.3558  -6.0677   True
    baseline      maximin   11.113    0.0    5.469   16.757   True
    baseline     optimist  -2.4312 0.8971  -8.0753   3.2128  False
    baseline  utilitarian  -0.2587    1.0  -5.9028   5.3853  False
    baseline         veto   7.9193 0.0006   2.2752  13.5633   True
 egalitarian majoritarian -17.1742    0.0 -22.8183 -11.5302   True
 egalitarian      maximin   5.6505 0.0495   0.0065  11.2945   True
 egalitarian     optimist  -7.8937 0.0006 -13.5378  -2.2497   True
 egalitarian  utilitarian  -5.7212 0.0442 -11.3653  -0.0772   True
 egalitarian         veto   2.4567 0.8918  -3.1873   8.1008  False
majoritarian      maximin  22.8247    0.0  17.1807  28.4688   True
majoritarian     optimist   9.2805    0.0   3.6365  14.9245   True
majoritarian  utilitarian   11.453    0.0    5.809   17.097   True
majoritarian         veto   19.631    0.0   13.987   25.275   True
     maximin     optimist -13.5442    0.0 -19.1883  -7.9002   True
     maximin  utilitarian -11.3717    0.0 -17.0158  -5.7277   True
     maximin         veto  -3.1937 0.6774  -8.8378   2.4503  False
    optimist  utilitarian   2.1725 0.9413  -3.4715   7.8165  False
    optimist         veto  10.3505    0.0   4.7065  15.9945   True
 utilitarian         veto    8.178 0.0003    2.534   13.822   True
------------------------------------------------------------------
