      Multiple Comparison of Means - Tukey HSD, FWER=0.05      
===============================================================
   group1       group2    meandiff p-adj   lower  upper  reject
---------------------------------------------------------------
     average     baseline    0.341 0.0283  0.0198 0.6622   True
     average  egalitarian    0.208 0.5071 -0.1132 0.5292  False
     average majoritarian    0.379 0.0084  0.0578 0.7002   True
     average      maximin    0.165 0.7758 -0.1562 0.4862  False
     average     optimist    0.254 0.2426 -0.0672 0.5752  False
     average  utilitarian    0.091 0.9895 -0.2302 0.4122  False
     average         veto    0.752    0.0  0.4308 1.0732   True
    baseline  egalitarian   -0.133  0.915 -0.4542 0.1882  False
    baseline majoritarian    0.038    1.0 -0.2832 0.3592  False
    baseline      maximin   -0.176 0.7125 -0.4972 0.1452  False
    baseline     optimist   -0.087  0.992 -0.4082 0.2342  False
    baseline  utilitarian    -0.25 0.2616 -0.5712 0.0712  False
    baseline         veto    0.411 0.0027  0.0898 0.7322   True
 egalitarian majoritarian    0.171  0.742 -0.1502 0.4922  False
 egalitarian      maximin   -0.043 0.9999 -0.3642 0.2782  False
 egalitarian     optimist    0.046 0.9999 -0.2752 0.3672  False
 egalitarian  utilitarian   -0.117 0.9561 -0.4382 0.2042  False
 egalitarian         veto    0.544    0.0  0.2228 0.8652   True
majoritarian      maximin   -0.214 0.4683 -0.5352 0.1072  False
majoritarian     optimist   -0.125 0.9378 -0.4462 0.1962  False
majoritarian  utilitarian   -0.288 0.1171 -0.6092 0.0332  False
majoritarian         veto    0.373 0.0103  0.0518 0.6942   True
     maximin     optimist    0.089 0.9908 -0.2322 0.4102  False
     maximin  utilitarian   -0.074 0.9971 -0.3952 0.2472  False
     maximin         veto    0.587    0.0  0.2658 0.9082   True
    optimist  utilitarian   -0.163 0.7866 -0.4842 0.1582  False
    optimist         veto    0.498 0.0001  0.1768 0.8192   True
 utilitarian         veto    0.661    0.0  0.3398 0.9822   True
---------------------------------------------------------------
