         Multiple Comparison of Means - Tukey HSD, FWER=0.05         
=====================================================================
   group1       group2     meandiff p-adj    lower     upper   reject
---------------------------------------------------------------------
     average     baseline   1064.59    0.0  729.0121 1400.1679   True
     average  egalitarian  865.2387    0.0  529.6609 1200.8166   True
     average majoritarian  527.1655 0.0001  191.5876  862.7434   True
     average      maximin  646.8443    0.0  311.2664  982.4221   True
     average     optimist  604.6397    0.0  269.0619  940.2176   True
     average  utilitarian  588.7827    0.0  253.2049  924.3606   True
     average         veto  516.5577 0.0001  180.9799  852.1356   True
    baseline  egalitarian -199.3513 0.6197 -534.9291  136.2266  False
    baseline majoritarian -537.4245    0.0 -873.0024 -201.8466   True
    baseline      maximin -417.7458  0.004 -753.3236  -82.1679   True
    baseline     optimist -459.9503 0.0009 -795.5281 -124.3724   True
    baseline  utilitarian -475.8073 0.0005 -811.3851 -140.2294   True
    baseline         veto -548.0323    0.0 -883.6101 -212.4544   True
 egalitarian majoritarian -338.0732 0.0468 -673.6511   -2.4954   True
 egalitarian      maximin -218.3945 0.5006 -553.9724  117.1834  False
 egalitarian     optimist  -260.599 0.2645 -596.1769   74.9789  False
 egalitarian  utilitarian  -276.456 0.1965 -612.0339   59.1219  False
 egalitarian         veto  -348.681  0.035 -684.2589  -13.1031   True
majoritarian      maximin  119.6788 0.9609 -215.8991  455.2566  False
majoritarian     optimist   77.4742  0.997 -258.1036  413.0521  False
majoritarian  utilitarian   61.6172 0.9993 -273.9606  397.1951  False
majoritarian         veto  -10.6078    1.0 -346.1856  324.9701  False
     maximin     optimist  -42.2045 0.9999 -377.7824  293.3734  False
     maximin  utilitarian  -58.0615 0.9995 -393.6394  277.5164  False
     maximin         veto -130.2865 0.9387 -465.8644  205.2914  False
    optimist  utilitarian   -15.857    1.0 -351.4349  319.7209  False
    optimist         veto   -88.082 0.9934 -423.6599  247.4959  False
 utilitarian         veto   -72.225 0.9981 -407.8029  263.3529  False
---------------------------------------------------------------------
